id,call_sign,code,name,country_name
809,ACK AIR,DV,Nantucket Airlines,United States
810,NASAIRWAYS,UE,Nasair,Eritrea
811,RED ROCK,N7,National Airlines,United States
812,NATIONAL CARGO,N8,National Air Cargo dba National Airlines,United States
813,NAM,IN,NAM Air,Indonesia
814,NATIONAL JET,NC,National Jet Systems,Australia
815,NATIONWIDE,CE,Nationwide Airlines,South Africa
816,ROYAL NEPAL,RA,Nepal Airlines,Nepal
817,MOONFLOWER,NO,Neos,Italy
818,EXECJET,1I,NetJets,United States
819,NEW ENGLAND,EJ,New England Airlines,United States
820,NEXTJET,2N,NextJet,Sweden
821,FLYNIKI,HG,Niki,Austria
822,NIPPON CARGO,KZ,Nippon Cargo Airlines,Japan
823,NOK AIR,DD,Nok Air,Thailand
824,BIG BIRD,XW,NokScoot,Thailand
825,ARCHANGELSK AIR,5N,Nordavia,Russia
826,NORDESTE,JH,Nordeste Linhas Areas Regionais,Brazil
827,NORTH RIDER,6N,Nordic Regional,Sweden
828,NORDLAND,N4,Nordwind Airlines,Russia
829,NORTH AMERICAN,NA,North American Airlines,United States
830,NORTH FLYING,M3,North Flying,Denmark
831,NORTHWRIGHT,HW,North-Wright Airways,Canada
832,YUKON,NC,Northern Air Cargo,United States
833,NORTHWEST,NW,Northwest Airlines,United States
834,POLARIS,J3,Northwestern Air,Canada
835,NOR SHUTTLE,DY,Norwegian Air Shuttle,Norway
836,REDNOSE,DI,Norwegian Air UK,United Kingdom
837,NORUEGA,DN,Norwegian Air Argentina,Argentina
838,NORSTAR,DU,Norwegian Long Haul,Norway
839,NORSHIP,DH,Norwegian Air Norway,Norway
840,NOUVELAIR,BJ,Nouvel Air Tunisie,Tunisia
841,NOVANILE,O9,Nova Airline,Sudan
842,NAVIGATOR,1I,Novair,Sweden
843,NOVO AIR,VQ,Novo Air,Bangladesh
844,AERO CONTINENTE,N6,Nuevo Continente,Peru
845,FRACTION,1I,NetJets Europe,Portugal
846,SPIRIT WINGS,NK,Spirit Airlines,United States
847,OCONNOR,UQ,O'Connor Airlines,Australia
848,OASIS,O8,Oasis Hong Kong Airlines,Hong Kong
849,OCEANCARGO,VC,Ocean Airlines,Italy
850,OCEANAIR,O6,Avianca Brazil,Brazil
851,HARPOON,O2,Linear Air,United States
852,OLYMPIC,OA,Olympic Air,Greece
853,OMAN AIR,WY,Oman Air,Oman
854,MAZOON,OV,SalamAir,Oman
855,OMNI-EXPRESS,OY,Omni Air International,United States
856,ONUR AIR,8Q,Onur Air,Turkey
857,ORENBURG,R2,Orenburg Airlines,Russia
858,ORIENT THAI,OX,Orient Thai Airlines,Thailand
859,ORIGIN,QO,Origin Pacific Airways,New Zealand
860,OLTRA,OL,OLT Express Germany,Germany
861,OUR AIRLINE,ON,Our Airline,Nauru
862,OVERLAND,OJ,Overland Airways,Nigeria
863,OZARK,OZ,Ozark Air Lines,United States
864,AUSJET,O7,Ozjet Airlines,Australia
865,CSA-LINES,OK,Czech Airlines,Czechia
866,SKYJET,PV,PAN Air,Spain
867,PEEBEE AIR,9Q,PB Air,Thailand
868,PLUNA,PU,PLUNA,Uruguay
869,MULTITRADE,U4,PMTair,Cambodia
870,BLUE STREAK,OH,PSA Airlines,United States
871,PACE,Y5,Pace Airlines,United States
872,PACIFIC AIRLINES,BL,Pacific Airlines,Vietnam
873,BLUEBIRD,DJ,Pacific Blue,New Zealand
874,PASCO,8P,Pacific Coastal Airlines,Canada
875,PAC-EAST CARGO,Q8,Pacific East Asia Cargo Airlines,Philippines
876,TSUNAMI,LW,Pacific Wings,United States
877,PAKISTAN,PK,Pakistan International Airlines,Pakistan
878,TRANS PACIFIC,GP,Palau Trans Pacific Airlines,Palau
879,PALESTINIAN,PF,Palestinian Airlines,Egypt
880,PAMIR,NR,Pamir Airways,Afghanistan
881,CLIPPER,PA,Pan American World Airways,United States
882,PANTANAL,P8,Pantanal Linhas Areas,Brazil
883,PARAWAY,I7,Paramount Airways,India
884,PASSAREDO,P3,Passaredo Transportes Areos,Brazil
885,PEARL AIRWAYS,HP,Pearl Airways,Haiti
886,SUNTURK,PC,Pegasus Airlines,Turkey
887,PEOPLES,PE,People's,Austria
888,PENINSULA,KS,Peninsula Airways,United States
889,PERM AIR,P9,Perm Airlines,Russia
890,REDHOT,Z2,Philippines AirAsia,Philippines
891,PHILIPPINE,PR,Philippine Airlines,Philippines
892,PHUKET AIR,9R,Phuket Air,Thailand
893,PIEDMONT,PI,Piedmont Airlines (1948-1989),United States
894,FLAGSHIP,9E,Pinnacle Airlines,United States
895,POLAR,PO,Polar Air Cargo,United States
896,POLYNESIAN,PH,Polynesian Airlines,Samoa
897,POLYBLUE,DJ,Polynesian Blue,New Zealand
898,PORTER,PD,Porter Airlines,Canada
899,PORTUGALIA,NI,Portugalia,Portugal
900,DISTRICT,BK,Potomac Air,United States
901,PRECISION AIR,PW,Precision Air,Tanzania
902,WHITECAP,FE,Primaris Airlines,United States
903,PRIVATE WINGS,8W,Private Wings Flugcharter,Germany
904,PRIVILEGE,P6,Privilege Style Lineas Areas,Spain
905,PROFLIGHT-ZAMBIA,P0,Proflight Zambia,Zambia
906,PULKOVO,FV,Pulkovo Aviation Enterprise,Russia
907,QANTAS,QF,Qantas,Australia
908,QLINK,QF,Qantaslink,Australia
909,QJET,QF,Qantaslink,Australia
910,QATARI,QR,Qatar Airways,Qatar
911,REDAIR,8L,Redhill Aviation,United Kingdom
912,REEM AIR,V4,Reem Air,Kyrgyzstan
913,MAROC REGIONAL,FN,Regional Air Lines,Morocco
914,REX,ZL,Regional Express,Australia
915,REGIOPAR,P7,Regional Paraguaya,Paraguay
916,CORP-X,3C,RegionsAir,United States
917,RENO AIR,QQ,Reno Air,United States
918,BRICKYARD,RW,Republic Airlines,United States
919,PUBLIC EXPRESS,RH,Republic Express Airlines,Indonesia
920,RICO,C7,Rico Linhas Areas,Brazil
921,GRANDE,E2,Rio Grande Air,United States
922,RIO,RL,Rio Linhas Areas,Brazil
923,RIO SUL,SL,Rio Sul Servitos Areos Regionais,Brazil
924,RUBY,V2,Vision Airlines,United States
925,RUSSIA,FV,Rossiya,Russia
926,AIR RAROTONGA,GZ,Air Rarotonga,Cook Islands
927,RAFAIR,RR,Royal Air Force,United Kingdom
928,MAJAN,RS,Royal Air Force of Oman,Oman
929,ROYALAIR MAROC,AT,Royal Air Maroc,Morocco
930,ROYAL PAKISTAN,R0,Royal Airlines,Pakistan
931,ROYAL ARUBAN,V5,Royal Aruban Airlines,Aruba
932,BRUNEI,BI,Royal Brunei Airlines,Brunei
933,JORDANIAN,RJ,Royal Jordanian,Jordan
934,GREENSKY,RK,Skyview Airways,Thailand
935,KHMER AIR,RK,Royal Khmer Airlines,Cambodia
936,PHNOM-PENH AIR,RL,Royal Phnom Penh Airways,Cambodia
937,TONGA ROYAL,WR,Royal Tongan Airlines,Tonga
938,RADUGA,P7,Russian Sky Airlines,Russia
939,RWANDAIR,WB,Rwandair Express,Rwanda
940,ARCTIC TRANSPORT,7S,Ryan Air Service,United States
941,RYAN INTERNATIONAL,RD,Ryan International Airlines,United States
942,RYANAIR,FR,Ryanair,Ireland
943,REGIONAL EUROPE,YS,Rgional Compagnie Arienne Europenne,France
944,SCOOTER,TR,Scoot,Singapore
945,JEY SPRING,IJ,Spring Airlines Japan,Japan
946,SMART LYNX,6Y,Smartlynx Airlines,Latvia
947,SKYTRAVEL,QS,Smartwings,Czechia
948,VIRGO,E3,Sabaidee Airways,Thailand
949,SKY CUBE,GG,Sky Lease Cargo,United States
950,SKYGREECE,GW,SkyGreece Airlines,Greece
951,SHARP,SH,Sharp Airlines,Australia
952,SHREEAIR,N9,Shree Airlines,Nepal
953,SYLT-AIR,7E,Sylt Air GmbH,Germany
954,SAMOA,OL,Samoa Air,Samoa
955,AIR AZORES,S4,SATA International,Portugal
956,SPRINGBOK,SA,South African Airways,South Africa
957,MAPLE,KV,Sky Regional Airlines,Canada
958,SAYAKHAT,W7,Sayakhat Airlines,Kazakhstan
959,SHAHEEN AIR,NL,Shaheen Air International,Pakistan
960,SAM,MM,SAM Colombia,Colombia
961,SCANDINAVIAN,SK,Scandinavian Airlines,Sweden
962,SOLPARAGUAYO,PI,Sol del Paraguay,Paraguay
963,S-BAR,UG,SevenAir,United States
964,SIBERIAN AIRLINES,S7,S7 Airlines,Russia
965,SKY BAHAMAS,Q7,SkyBahamas,Bahamas
966,SEABORNE,BB,Seaborne Airlines,United States
967,BLACK FIN,PV,St Barth Commuter,France
968,SASQUATCH,K5,SeaPort Airlines,United States
969,SWIFTAIR,W3,Switfair Cargo,Canada
970,SERVI ANDES,FP,Servicios Areos de los Andes,Peru
971,SRILANKAN,UL,SriLankan Airlines,Sri Lanka
972,SUN COUNTRY,SY,Sun Country Airlines,United States
973,SPICEJET,SG,Spicejet,India
974,SKY EYES,I6,Sky Eyes,Thailand
975,SAETA,EH,SAETA,Ecuador
976,STARFLYER,7G,Star Flyer,Japan
977,CARGO,FA,Safair,South Africa
978,SKAGWAY AIR,N5,Skagway Air Service,United States
979,SATAIR,HZ,Sakhalinskie Aviatrassyy(SAT),Russia
980,SATA,SP,SATA Air Acores,Portugal
981,ANTALYA BIRD,ZY,Sky Airlines,Turkey
982,SINGAPORE,SQ,Singapore Airlines,Singapore
983,SIBAVIA,5M,Sibaviatrans,Russia
984,BLUEJET,SI,Skynet Airlines,Ireland
985,NAJIM,ZS,Sama Airlines,Saudi Arabia
986,SINGCARGO,SQ,Singapore Airlines Cargo,Singapore
987,SIEMREAP AIR,FT,Siem Reap Airways,Cambodia
988,SKYFOX,SX,Sky Work Airlines,Switzerland
989,Starline,SM,Swedline Express,Sweden
990,WHITESTAR,S6,Star Air,Denmark
991,SEVERSTAL,D2,Severstal Air Company,Russia
992,BLACKBIRD,VD,SwedJet Airways,Sweden
993,SUNSTATE,QF,Sunstate Airlines,Australia
994,SKYTOUR,5G,Skyservice Airlines,Canada
995,STOBART,RE,Stobart Air,Ireland
996,FUEGUINO,FS,Servicios de Transportes Areos Fueguinos,Argentina
997,SUDANAIR,SD,Sudan Airways,Sudan
998,SUNFLOWER,PI,Sun Air (Fiji),Fiji
999,FRIENDLY,LW,Sun Air International,United States
1000,SUNSCAN,EZ,Sun Air of Scandinavia,Denmark
1001,SAUDIA,SV,Saudia,Saudi Arabia
1002,SOUTHWEST,WN,Southwest Airlines,United States
1003,SOUTHERN WINDS,A4,Southern Winds Airlines,Argentina
1004,SUNWING,WG,Sunwing Airlines,Canada
1005,SWISS,LX,Swiss International Air Lines,Switzerland
1006,SWISSAIR,SR,Swissair,Switzerland
1007,SUNDAIR,SR,Sundair,Germany
1008,EUROSWISS,LZ[45],Swiss Global Air Lines,Switzerland
1009,FLYING SWEDE,WV,Swe Fly,Sweden
1010,WAY AERO,S8,Shovkoviy Shlyah,Ukraine
1011,SWAZI EXPRESS,Q4,Swazi Express Airways,Swaziland
1012,SWOOP,WO,Swoop,Canada
1013,SKYWISE,S8,Skywise Airline,South Africa
1014,SUNEXPRESS,XQ,SunExpress,Turkey
1015,SYRIANAIR,RB,Syrian Arab Airlines,Syria
1016,SKYWAY-EX,AL,Skywalk Airlines,United States
1017,SILK LINE,ZP,Silk Way Airlines,Azerbaijan
1018,SILK WEST,7L,Silk Way West Airlines,Azerbaijan
1019,BERYOZA,E5,Samara Airlines,Russia
1020,SHANDONG,SC,Shandong Airlines,China
1021,SCANOR,SK,SAS Braathens,Norway
1022,AIR SPRING,9C,Spring Airlines,China
1023,SI CHUAN,3U,Sichuan Airlines,China
1024,SHANGHAI AIR,FM,Shanghai Airlines,China
1025,SHENZHEN AIR,ZH,Shenzhen Airlines,China
1026,SHANXI,8C,Shanxi Airlines,China
1027,ECHO ROMEO,7L,Sun D'Or,Israel
1028,RELAX,NE,SkyEurope,Slovakia
1029,SPEND AIR,SO,Superior Aviation,United States
1030,IGUANA,TE,Skytaxi,Poland
1031,SPANAIR,JK,Spanair,Spain
1032,MARINER,2G*,San Juan Airlines,United States
1033,SLOK GAMBIA,S0,Slok Air Gambia,Gambia
1034,SOSOLISO,SO,Sosoliso Airlines,Nigeria
1035,VELOCITY,VA,Virgin Australia Regional Airlines,Australia
1036,PHAZER,1I,Sky Trek International Airlines,United States
1037,SKYBUS,SX,Skybus Airlines,United States
1038,SKYKING,RU,SkyKing Turks and Caicos Airways,Turks and Caicos Islands
1039,SANTA BARBARA,S3,Santa Barbara Airlines,Venezuela
1040,SKY YOU,XT,SkyStar Airways,Thailand
1041,AEROSKY,H2,Sky Airline,Chile
1042,SKYWEST,OO,SkyWest Airlines,United States
1043,SKYMARK,BC,Skymark Airlines,Japan
1044,SELAIR,LJ,Sierra National Airlines,Sierra Leone
1045,SILKAIR,MI,SilkAir,Singapore
1046,SLOV LINE,6Q,Slovak Airlines,Slovakia
1047,SURINAM,PY,Surinam Airways,Suriname
1048,STERLING,NB,Sterling Airlines,Denmark
1049,NEWSKY,6J,Skynet Asia Airways,Japan
1050,SOLOMON,IE,Solomon Airlines,Solomon Islands
1051,SARATOV AIR,6W,Saratov Airlines Joint Stock Company,Russia
1052,SATCO,HZ,Sat Airlines,Kazakhstan
1053,MERCURY,S5,Shuttle America,United States
1054,STARLINK,Q4,Starlink Aviation,Canada
1055,STAR1,V9,Star1 Airlines,Lithuania
1056,SHUN FENG,O3,SF Airlines,China
1057,GERMANJET,5P,Small Planet Airlines,Germany
1058,SUNRISE,XG,Sunexpress Deutschland,Germany
1059,THAI SMILE,WE,Thai Smile Airways,Thailand
1060,THAIVIET JET,VZ,Thai Vietjet Air,Thailand
1061,EXPRESS WING,XJ,Thai AirAsia X,Thailand
1062,MENTARI,SL,Thai Lion Mentari,Thailand
1063,TAME,EQ,TAME,Ecuador
1064,TAM,JJ,LATAM Brasil,Brazil
1065,AIR PORTUGAL,TP,TAP Portugal,Portugal
1066,TUNAIR,TU,Tunisair,Tunisia
1067,QUALITY,3V,TNT Airways,Belgium
1068,TRANSBRASIL,TR,Transbrasil,Brazil
1069,THAI CARGO,T2,Thai Air Cargo,Thailand
1070,THOMAS COOK,HQ,Thomas Cook Airlines,Belgium
1071,TANDEM,TQ,Tandem Aero,Moldova
1072,Teamline,L9,Teamline Air,Austria
1073,TRANSEURLINE,UE,Transeuropean Airlines,Russia
1074,SATGURAIR,2S,Satgur Air Transport,Liberia
1075,ZAP,ZT,Titan Airways,United Kingdom
1076,GO CAT,TR,Tigerair Singapore,Singapore
1077,TIGGOZ,TT,Tigerair Australia,Australia
1078,SMART CAT,IT,Tigerair Taiwan,Taiwan
1079,BLUE JAY,DG,Cebgo,Philippines
1080,THAI,TG,Thai Airways International,Thailand
1081,THAI ASIA,FD,Thai AirAsia,Thailand
1082,TURKISH,TK,Turkish Airlines,Turkey
1083,TWINJET,T7,Twin Jet,France
1084,THAI SKY AIR,9I,Thai Sky Airlines,Thailand
1085,TULIPAIR,TD,Tulip Air,Netherlands
1086,TANGO LIMA,TL,Trans Mediterranean Airlines,Lebanon
1087,TRILINES,GY,Tri-MG Intra Asia Airlines,Indonesia
1088,TAM AIRLINE,OF,Transports et Travaux Ariens de Madagascar,Madagascar
1089,TIARA,3P,Tiara Air,Aruba
1090,TOBRUK AIR,7T,Tobruk Air,Libya
1091,TOL AIR,TI,Tol-Air Services,United States
1092,TUI AIR[48],BY,Thomson Airways,United Kingdom
1093,TROPISER,PM,Tropic Air,Belize
1094,TAMPA,QT,TAMPA,Colombia
1095,TAQUAN,K3,Taquan Air Services,United States
1096,FRANCE SOLEIL,TO,Transavia France,France
1097,TRANSAVIA,HV,Transavia Holland,Netherlands
1098,CABOVERDE,VR,TACV,Cape Verde
1099,TRANS-MERIDIAN,T9,TransMeridian Airlines,United States
1100,TRANSMILE,TH,Transmile Air Services,Malaysia
1101,TRAST AERO,S5,Trast Aero,Kyrgyzstan
1102,ATHABASKA,9T,Transwest Air,Canada
1103,TRANSOVIET,UN,Transaero Airlines,Russia
1104,THAI STAR,T9,Thai Star Airlines,Thailand
1105,TURKMENISTAN,T5,Turkmenhovayollary,Turkmenistan
1106,TRAVEL SERVICE,7O[49],Travel Service,Hungary
1107,TAVREY,T6,Tavrey Airlines,Ukraine
1108,TWAYAIR,TW,T'way Air,South Korea
1109,TRANSEXPORT,AL,TransAVIAexport Airlines,Belarus
1110,BLUESCAN,6B,TUIfly Nordic,Sweden
1111,DTA,DT,TAAG Angola Airlines,Angola
1112,TASSILI AIR,SF,Tassili Airlines,Algeria
1113,GOODSPEED,TJ,Tradewind Aviation,United States
1114,WATERSKI,AX,Trans States Airlines,United States
1115,OPEN SKIES,1L,Open Skies Consultative Commission,United States
1116,TAROM,RO,Tarom,Romania
1117,TURAN,3T,Turan Air,Azerbaijan
1118,TRIP,T4,TRIP Linhas Areas,Brazil
1119,TBILAVIA,L6,Tbilaviamsheni,Georgia
1120,XPRESS,XN,XpressAir,Indonesia
1121,TYROLEAN,VO,Tyrolean Airways,Austria
1122,BO HAI,GS,Tianjin Airlines,China
1123,GETAWAY,U5,USA3000 Airlines,United States
1124,GLORY,B7,UNI Air,Taiwan
1125,UNITED,UA,United Airlines,United States
1126,UNITED BANGLADESH,4H,United Airways,Bangladesh
1127,FEEDER EXPRESS,U2,United Feeder Service,United States
1128,JET USA,U7,USA Jet Airlines,United States
1129,SVERDLOVSK AIR,U6,Ural Airlines,Russia
1130,UKRAINE MEDITERRANEE,UF,UM Airlines,Ukraine
1131,CARGOTRANS,6Z,Ukrainian Cargo Airways,Ukraine
1132,UPS,5X,United Parcel Service,United States
1133,US-HELI,UH,US Helicopter,United States
1134,UTAIR,UT,UTair Aviation,Russia
1135,UZBEK,HY,Uzbekistan Airways,Uzbekistan
1136,UKRAINE INTERNATIONAL,PS,Ukraine International Airlines,Ukraine
1137,VANILLA,JW,Vanilla Air,Japan
1138,VALUAIR,VF,Valuair,Singapore
1139,CRITTER,J7,ValuJet Airlines,United States
1140,VASCO AIR,0V,Vietnam Air Services Companyy(VASCO),Vietnam
1141,VOYAGEUR,VC,Voyageur Airways,Canada
1142,VIET NAM AIRLINES,VN,Vietnam Airlines,Vietnam
1143,MOV AIR,NN,VIM Airlines,Russia
1144,VOLARIS,Y4,Volaris,Mexico
1145,VOLGA,VI,Volga-Dnepr Airlines,Russia
1146,REDWOOD,VX,Virgin America,United States
1147,VIETJET,VJ,Vietjet Air,Vietnam
1148,VIEQUES,V4,Vieques Air Link,United States
1149,VIRGIN EXPRESS,TV,Virgin Express,Belgium
1150,VIRGIN NIGERIA,VK,Virgin Nigeria Airways,Nigeria
1151,VIRGIN,VS,Virgin Atlantic Airways,United Kingdom
1152,JACKPOT,ZG,Viva Macau,Macau
1153,VOLA,VE,C.A.I. Second,Italy
1154,VUELING,VY,Vueling Airlines,Spain
1155,VLADAIR,XF,Vladivostok Air,Russia
1156,VELOG,LC,Varig Logistica,Brazil
1157,VIAGGIO,VM,Viaggio Air,Bulgaria
1158,VIAIR,9V,Vipair Airlines,Kazakhstan
1159,VARIG,RG,VRG Linhas Areas,Brazil
1160,Viva Air Colombia,VH,Viva Air Colombia,Colombia
1161,VASP,VP,VASP,Brazil
1162,VOLOTEA,V7,Volotea,Spain
1163,RUBENS,VG,VLM Airlines,Belgium
1164,GOUMRAK,G6,Air Volga,Russia
1165,Vistara,UK,Vistara,India
1166,WDL,WD,WDL Aviation,Germany
1167,WASAYA,WT,Wasaya Airways,Canada
1168,WEB-BRASIL,WH,WebJet Linhas Areas,Brazil
1169,WELCOMEAIR,2W,Welcome Air,Austria
1170,AIR SWEDEN,PT,West Air Sweden,Sweden
1171,WEST,YH,West Caribbean Airways,Colombia
1172,COAST AIR,8O,West Coast Air,Canada
1173,WESTJET,WS,WestJet,Canada
1174,RUBY MOUNTAIN,XP,Western,United States
1175,WESTERN,WA,Western Airlines,United States
1176,KOMSTAR,W7,Western Pacific Airlines,United States
1177,WESTWARD,CN,Westward Airways,United States
1178,WIDEROE,WF,Widere,Norway
1179,GHIBLI,IV,Wind Jet,Italy
1180,QUADRIGA,7W,Windrose Air,Germany
1181,WINGS ABADI,IW,Wings Air,Indonesia
1182,WIZZBUL,8Z,Wizz Air Bulgaria,Bulgaria
1183,WIZZAIR,W6,Wizz Air,Hungary
1184,WIZZ GO,W9,Wizz Air UK,United Kingdom
1185,WORLD,WO,World Airways,United States
1186,SILKITALIA,UI,SW Italia,Italy
1187,WOW air,WW,WOW air,Iceland
1188,WRIGHT FLYER,8V,Wright Air Service,United States
1189,WATANIYA,KW,Wataniya Airways,Kuwait
1190,WANAIR,3W,Wan Air,French Polynesia
1191,ENCORE,WR,WestJet Encore,Canada
1192,TUNISIA CARGO,7A,Express Air Cargo,Tunisia
1193,XIAMEN AIR,MF,Xiamen Airlines,China
1194,STARWAY,SE,XL Airways France,France
1195,CASINO EXPRESS,XP,Xtra Airways,United States
1196,YAMAL,YL,Yamal Airlines,Russia
1197,YANGTZE RIVER,Y8,Yangtze River Express,China
1198,YEMENI,IY,Yemenia,Yemen
1199,YETI AIRLINES,YT,Yeti Airlines,Nepal
1200,YUZMASH,2N,Yuzhmashavia,Ukraine
1201,ZAMBIANA,Q3,Zambian Airways,Zambia
1202,ZIPPER,3J,Zip,Canada
1203,ZOOM,Z4,Zoom Airlines,Canada
